All calculations;Line 5;Line 5;Line 5
"Time in s";"Phase Current A/Terminal j in kA";"Phase Current B/Terminal j in kA";"Phase Current C/Terminal j in kA"
0,000100;0,152839;-0,205792;0,052953
0,000200;0,158361;-0,203472;0,045112
0,000300;0,163657;-0,200863;0,037206
0,000400;0,168722;-0,197969;0,029247
0,000500;0,173546;-0,194793;0,021247
0,000600;0,178124;-0,191341;0,013217
0,000700;0,182449;-0,187616;0,005168
0,000800;0,186514;-0,183625;-0,002889
0,000900;0,190314;-0,179373;-0,010941
0,001000;0,193844;-0,174867;-0,018978
0,001100;0,197099;-0,170111;-0,026988
0,001200;0,200073;-0,165114;-0,034959
0,001300;0,202763;-0,159882;-0,042881
0,001400;0,205165;-0,154424;-0,050742
0,001500;0,207276;-0,148745;-0,058530
0,001600;0,209091;-0,142855;-0,066236
0,001700;0,210610;-0,136763;-0,073847
0,001800;0,211830;-0,130476;-0,081354
0,001900;0,212748;-0,124003;-0,088745
0,002000;0,213364;-0,117354;-0,096010
0,002100;0,213677;-0,110539;-0,103138
0,002200;0,213686;-0,103566;-0,110120
0,002300;0,213392;-0,096447;-0,116945
0,002400;0,212794;-0,089190;-0,123604
0,002500;0,211894;-0,081806;-0,130088
0,002600;0,210693;-0,074307;-0,136386
0,002700;0,209192;-0,066701;-0,142491
0,002800;0,207394;-0,059001;-0,148393
0,002900;0,205302;-0,051217;-0,154085
0,003000;0,202917;-0,043360;-0,159557
0,003100;0,200245;-0,035442;-0,164803
0,003200;0,197287;-0,027473;-0,169815
0,003300;0,194050;-0,019465;-0,174585
0,003400;0,190537;-0,011430;-0,179107
0,003500;0,186752;-0,003378;-0,183374
0,003600;0,182703;0,004679;-0,187382
0,003700;0,178394;0,012729;-0,191122
0,003800;0,173831;0,020760;-0,194591
0,003900;0,169021;0,028763;-0,197784
0,004000;0,163972;0,036724;-0,200696
0,004100;0,158689;0,044633;-0,203322
0,004200;0,153180;0,052479;-0,205659
0,004300;0,147454;0,060250;-0,207705
0,004400;0,141519;0,067936;-0,209455
0,004500;0,135382;0,075525;-0,210907
0,004600;0,129053;0,083007;-0,212060
0,004700;0,122540;0,090371;-0,212911
0,004800;0,115854;0,097606;-0,213460
0,004900;0,109003;0,104703;-0,213705
0,005000;0,101996;0,111650;-0,213647
0,005100;0,094845;0,118440;-0,213285
0,005200;0,087559;0,125061;-0,212620
0,005300;0,080149;0,131504;-0,211653
0,005400;0,072625;0,137760;-0,210385
0,005500;0,064997;0,143821;-0,208818
0,005600;0,057278;0,149677;-0,206954
0,005700;0,049477;0,155320;-0,204797
0,005800;0,041605;0,160743;-0,202348
0,005900;0,033674;0,165937;-0,199612
0,006000;0,025696;0,170896;-0,196592
0,006100;0,017681;0,175612;-0,193293
0,006200;0,009641;0,180078;-0,189719
0,006300;0,001587;0,184288;-0,185875
0,006400;-0,006469;0,188236;-0,181767
0,006500;-0,014516;0,191917;-0,177401
0,006600;-0,022542;0,195325;-0,172783
0,006700;-0,030536;0,198456;-0,167919
0,006800;-0,038487;0,201304;-0,162817
0,006900;-0,046383;0,203867;-0,157484
0,007000;-0,054213;0,206139;-0,151926
0,007100;-0,061967;0,208119;-0,146153
0,007200;-0,069632;0,209803;-0,140172
0,007300;-0,077198;0,211189;-0,133991
0,007400;-0,084654;0,212275;-0,127621
0,007500;-0,091990;0,213059;-0,121069
0,007600;-0,099196;0,213541;-0,114345
0,007700;-0,106260;0,213719;-0,107458
0,007800;-0,113174;0,213593;-0,100419
0,007900;-0,119926;0,213163;-0,093237
0,008000;-0,126509;0,212431;-0,085923
0,008100;-0,132911;0,211397;-0,078486
0,008200;-0,139125;0,210063;-0,070938
0,008300;-0,145141;0,208430;-0,063289
0,008400;-0,150950;0,206500;-0,055550
0,008500;-0,156545;0,204278;-0,047732
0,008600;-0,161918;0,201765;-0,039847
0,008700;-0,167061;0,198965;-0,031905
0,008800;-0,171966;0,195883;-0,023917
0,008900;-0,176626;0,192522;-0,015895
0,009000;-0,181036;0,188888;-0,007851
0,009100;-0,185189;0,184985;0,000204
0,009200;-0,189078;0,180819;0,008259
0,009300;-0,192699;0,176397;0,016302
0,009400;-0,196046;0,171723;0,024322
0,009500;-0,199114;0,166806;0,032308
0,009600;-0,201899;0,161652;0,040248
0,009700;-0,204398;0,156267;0,048130
0,009800;-0,206606;0,150661;0,055944
0,009900;-0,208520;0,144841;0,063679
0,010000;-0,210138;0,138815;0,071323
0,010100;-0,211457;0,132592;0,078866
0,010200;-0,212476;0,126180;0,086296
0,010300;-0,213193;0,119589;0,093604
0,010400;-0,213607;0,112828;0,100779
0,010500;-0,213717;0,105907;0,107811
0,010600;-0,213524;0,098835;0,114690
0,010700;-0,213028;0,091622;0,121405
0,010800;-0,212228;0,084280;0,127948
0,010900;-0,211127;0,076818;0,134310
0,011000;-0,209726;0,069246;0,140480
0,011100;-0,208027;0,061576;0,146451
0,011200;-0,206032;0,053819;0,152213
0,011300;-0,203745;0,045985;0,157760
0,011400;-0,201168;0,038086;0,163082
0,011500;-0,198305;0,030133;0,168172
0,011600;-0,195160;0,022137;0,173024
0,011700;-0,191738;0,014109;0,177629
0,011800;-0,188044;0,006061;0,181982
0,011900;-0,184082;-0,001995;0,186077
0,012000;-0,179859;-0,010048;0,189907
0,012100;-0,175380;-0,018088;0,193467
0,012200;-0,170652;-0,026101;0,196753
0,012300;-0,165681;-0,034077;0,199758
0,012400;-0,160475;-0,042005;0,202480
0,012500;-0,155041;-0,049873;0,204914
0,012600;-0,149386;-0,057671;0,207057
0,012700;-0,143520;-0,065386;0,208906
0,012800;-0,137449;-0,073009;0,210458
0,012900;-0,131183;-0,080527;0,211711
0,013000;-0,124731;-0,087932;0,212662
0,013100;-0,118101;-0,095211;0,213312
0,013200;-0,111303;-0,102355;0,213659
0,013300;-0,104348;-0,109354;0,213702
0,013400;-0,097244;-0,116197;0,213441
0,013500;-0,090002;-0,122875;0,212877
0,013600;-0,082632;-0,129379;0,212010
0,013700;-0,075144;-0,135698;0,210842
0,013800;-0,067550;-0,141825;0,209375
0,013900;-0,059860;-0,147750;0,207610
0,014000;-0,052084;-0,153466;0,205550
0,014100;-0,044235;-0,158963;0,203198
0,014200;-0,036323;-0,164234;0,200557
0,014300;-0,028359;-0,169272;0,197631
0,014400;-0,020355;-0,174069;0,194424
0,014500;-0,012322;-0,178619;0,190941
0,014600;-0,004271;-0,182916;0,187187
0,014700;0,003785;-0,186952;0,183167
0,014800;0,011837;-0,190723;0,178886
0,014900;0,019871;-0,194222;0,174351
0,015000;0,027877;-0,197446;0,169568
0,015100;0,035844;-0,200389;0,164545
0,015200;0,043759;-0,203047;0,159287
0,015300;0,051613;-0,205417;0,153804
0,015400;0,059393;-0,207494;0,148101
0,015500;0,067089;-0,209277;0,142189
0,015600;0,074689;-0,210763;0,136074
0,015700;0,082183;-0,211949;0,129765
0,015800;0,089561;-0,212834;0,123273
0,015900;0,096811;-0,213416;0,116605
0,016000;0,103924;-0,213695;0,109771
0,016100;0,110889;-0,213671;0,102782
0,016200;0,117696;-0,213342;0,095646
0,016300;0,124336;-0,212711;0,088375
0,016400;0,130800;-0,211777;0,080978
0,016500;0,137077;-0,210543;0,073466
0,016600;0,143160;-0,209009;0,065849
0,016700;0,149039;-0,207178;0,058139
0,016800;0,154707;-0,205053;0,050346
0,016900;0,160154;-0,202636;0,042482
0,017000;0,165375;-0,199932;0,034557
0,017100;0,170360;-0,196943;0,026584
0,017200;0,175103;-0,193675;0,018572
0,017300;0,179597;-0,190131;0,010534
0,017400;0,183836;-0,186317;0,002481
0,017500;0,187813;-0,182238;-0,005575
0,017600;0,191524;-0,177900;-0,013624
0,017700;0,194963;-0,173310;-0,021653
0,017800;0,198125;-0,168473;-0,029651
0,017900;0,201005;-0,163397;-0,037608
0,018000;0,203599;-0,158089;-0,045511
0,018100;0,205904;-0,152555;-0,053349
0,018200;0,207917;-0,146806;-0,061111
0,018300;0,209634;-0,140847;-0,068786
0,018400;0,211053;-0,134689;-0,076364
0,018500;0,212172;-0,128339;-0,083833
0,018600;0,212990;-0,121806;-0,091184
0,018700;0,213505;-0,115101;-0,098404
0,018800;0,213716;-0,108232;-0,105485
0,018900;0,213624;-0,101209;-0,112416
0,019000;0,213229;-0,094042;-0,119187
0,019100;0,212530;-0,086742;-0,125788
0,019200;0,211529;-0,079318;-0,132211
0,019300;0,210228;-0,071782;-0,138446
0,019400;0,208628;-0,064144;-0,144484
0,019500;0,206732;-0,056414;-0,150317
0,019600;0,204541;-0,048605;-0,155937
0,019700;0,202060;-0,040726;-0,161335
0,019800;0,199292;-0,032789;-0,166503
0,019900;0,196241;-0,024806;-0,171435
0,020000;0,192911;-0,016787;-0,176124
0,020050;0,023234;-0,051096;0,027861
0,020118;-0,144395;-0,089718;0,234113
0,020218;-0,265769;-0,127270;0,393039
0,020318;-0,215551;-0,132668;0,348219
0,020418;-0,091600;-0,118936;0,210536
0,020518;-0,029681;-0,112928;0,142609
0,020618;-0,107480;-0,135658;0,243139
0,020718;-0,293437;-0,187602;0,481039
0,020818;-0,475198;-0,249243;0,724442
0,020918;-0,544949;-0,296032;0,840981
0,021018;-0,478854;-0,316606;0,795460
0,021118;-0,353494;-0,321048;0,674541
0,021218;-0,288599;-0,333342;0,621941
0,021318;-0,358613;-0,373692;0,732305
0,021418;-0,537451;-0,443568;0,981019
0,021518;-0,716171;-0,524280;1,240451
0,021618;-0,780509;-0,590039;1,370547
0,021718;-0,692394;-0,626113;1,318507
0,021818;-0,517294;-0,639128;1,156422
0,021918;-0,378361;-0,652287;1,030648
0,022018;-0,370582;-0,689064;1,059646
0,022118;-0,495970;-0,757032;1,253002
0,022218;-0,664940;-0,843158;1,508098
0,022318;-0,761426;-0,923595;1,685021
0,022418;-0,724356;-0,980680;1,705037
0,022518;-0,587691;-1,014957;1,602647
0,022618;-0,452001;-1,043862;1,495863
0,022718;-0,409846;-1,088437;1,498283
0,022818;-0,479500;-1,157898;1,637398
0,022918;-0,594288;-1,243215;1,837503
0,023018;-0,653860;-1,324138;1,977999
0,023118;-0,599137;-1,384339;1,983476
0,023218;-0,456235;-1,423582;1,879817
0,023318;-0,317846;-1,458115;1,775961
0,023418;-0,275914;-1,509026;1,784940
0,023518;-0,354368;-1,586986;1,941354
0,023618;-0,490238;-1,684298;2,174536
0,023718;-0,576491;-1,779888;2,356378
0,023818;-0,535891;-1,853634;2,389526
0,023918;-0,373528;-1,899852;2,273381
0,024018;-0,171470;-1,930525;2,101995
0,024118;-0,030463;-1,966269;1,996732
0,024218;-0,000769;-2,021703;2,022472
0,024318;-0,050894;-2,095655;2,146549
0,024418;-0,094930;-2,172947;2,267878
0,024518;-0,057190;-2,236086;2,293276
0,024618;0,073108;-2,278189;2,205081
0,024718;0,236005;-2,307807;2,071803
0,024818;0,346776;-2,342333;1,995558
0,024918;0,359409;-2,394972;2,035563
0,025018;0,301237;-2,464812;2,163576
0,025118;0,253854;-2,537179;2,283325
0,025218;0,294451;-2,593982;2,299531
0,025318;0,440000;-2,626581;2,186581
0,025418;0,634366;-2,641951;2,007585
0,025518;0,787353;-2,657806;1,870453
0,025618;0,837615;-2,690197;1,852582
0,025718;0,794750;-2,742444;1,947694
0,025818;0,731208;-2,803131;2,071923
0,025918;0,730628;-2,854404;2,123776
0,026018;0,829788;-2,884500;2,054712
0,026118;0,995092;-2,895588;1,900496
0,026218;1,149135;-2,901553;1,752417
0,026318;1,227102;-2,917599;1,690497
0,026418;1,222124;-2,949312;1,727188
0,026518;1,187642;-2,988995;1,801353
0,026618;1,196310;-3,021724;1,825414
0,026718;1,286080;-3,036506;1,750426
0,026818;1,432694;-3,034382;1,601688
0,026918;1,568081;-3,027619;1,459538
0,027018;1,630790;-3,030664;1,399875
0,027118;1,611673;-3,049446;1,437773
0,027218;1,561807;-3,076753;1,514946
0,027318;1,557017;-3,097015;1,539998
0,027418;1,644466;-3,097040;1,452573
0,027518;1,809354;-3,075102;1,265748
0,027618;1,985073;-3,041985;1,056912
0,027718;2,099159;-3,013389;0,914230
0,027818;2,122218;-2,999179;0,876962
0,027918;2,085584;-2,997070;0,911486
0,028018;2,056268;-2,995023;0,938755
0,028118;2,088142;-2,980367;0,892224
