"Time in s";"Phase Current A/Terminal j in kA";"Phase Current B/Terminal j in kA";"Phase Current C/Terminal j in kA";"Phase Voltage B/Terminal j in p.u.";"Phase Voltage C/Terminal j in p.u.";"Phase Voltage A/Terminal j in p.u."
-0,100000;0,147120;-0,207850;0,060730;0,907861;-0,065141;-0,842720
-0,099900;0,152858;-0,205821;0,052963;0,890292;-0,027005;-0,863286
-0,099800;0,158379;-0,203500;0,045121;0,871457;0,011168;-0,882625
-0,099700;0,163675;-0,200890;0,037215;0,851385;0,049325;-0,900710
-0,099600;0,168738;-0,197994;0,029256;0,830104;0,087411;-0,917515
-0,099500;0,173560;-0,194817;0,021256;0,807644;0,125373;-0,933017
-0,099400;0,178136;-0,191363;0,013227;0,784037;0,163157;-0,947194
-0,099300;0,182458;-0,187637;0,005179;0,759317;0,200709;-0,960026
-0,099200;0,186521;-0,183645;-0,002876;0,733518;0,237977;-0,971495
-0,099100;0,190318;-0,179391;-0,010927;0,706678;0,274906;-0,981584
-0,099000;0,193845;-0,174883;-0,018962;0,678834;0,311445;-0,990279
-0,098900;0,197097;-0,170127;-0,026970;0,650026;0,347543;-0,997569
-0,098800;0,200069;-0,165130;-0,034940;0,620295;0,383147;-1,003442
-0,098700;0,202757;-0,159898;-0,042860;0,589683;0,418207;-1,007890
-0,098600;0,205158;-0,154439;-0,050719;0,558233;0,452674;-1,010907
-0,098500;0,207267;-0,148760;-0,058506;0,525990;0,486498;-1,012488
-0,098400;0,209081;-0,142871;-0,066210;0,492999;0,519632;-1,012631
-0,098300;0,210599;-0,136779;-0,073820;0,459308;0,552028;-1,011335
-0,098200;0,211817;-0,130492;-0,081325;0,424963;0,583640;-1,008603
-0,098100;0,212735;-0,124021;-0,088715;0,390015;0,614423;-1,004438
-0,098000;0,213351;-0,117373;-0,095978;0,354512;0,644334;-0,998846
-0,097900;0,213664;-0,110558;-0,103105;0,318505;0,673329;-0,991835
-0,097800;0,213673;-0,103587;-0,110087;0,282045;0,701368;-0,983414
-0,097700;0,213380;-0,096469;-0,116912;0,245184;0,728411;-0,973595
-0,097600;0,212784;-0,089213;-0,123571;0,207974;0,754418;-0,962392
-0,097500;0,211886;-0,081831;-0,130055;0,170468;0,779353;-0,949821
-0,097400;0,210687;-0,074333;-0,136354;0,132719;0,803180;-0,935899
-0,097300;0,209189;-0,066729;-0,142460;0,094781;0,825866;-0,920647
-0,097200;0,207393;-0,059030;-0,148363;0,056708;0,847377;-0,904086
-0,097100;0,205302;-0,051247;-0,154056;0,018555;0,867684;-0,886239
-0,097000;0,202920;-0,043391;-0,159529;-0,019626;0,886757;-0,867131
-0,096900;0,200249;-0,035473;-0,164776;-0,057778;0,904569;-0,846792
-0,096800;0,197293;-0,027505;-0,169788;-0,095848;0,921096;-0,825248
-0,096700;0,194056;-0,019497;-0,174559;-0,133783;0,936313;-0,802530
-0,096600;0,190544;-0,011462;-0,179082;-0,171527;0,950199;-0,778672
-0,096500;0,186761;-0,003410;-0,183351;-0,209028;0,962734;-0,753706
-0,096400;0,182713;0,004646;-0,187359;-0,246231;0,973900;-0,727669
-0,096300;0,178405;0,012696;-0,191101;-0,283085;0,983682;-0,700598
-0,096200;0,173843;0,020728;-0,194571;-0,319536;0,992066;-0,672530
-0,096100;0,169033;0,028730;-0,197764;-0,355533;0,999040;-0,643507
-0,096000;0,163983;0,036692;-0,200675;-0,391024;1,004594;-0,613570
-0,095900;0,158700;0,044602;-0,203302;-0,425960;1,008720;-0,582760
-0,095800;0,153191;0,052448;-0,205639;-0,460290;1,011413;-0,551123
-0,095700;0,147464;0,060220;-0,207684;-0,493965;1,012669;-0,518704
-0,095600;0,141528;0,067906;-0,209433;-0,526938;1,012485;-0,485547
-0,095500;0,135390;0,075495;-0,210885;-0,559162;1,010864;-0,451702
-0,095400;0,129061;0,082977;-0,212038;-0,590591;1,007805;-0,417215
-0,095300;0,122548;0,090341;-0,212889;-0,621180;1,003315;-0,382135
-0,095200;0,115861;0,097576;-0,213437;-0,650886;0,997400;-0,346513
-0,095100;0,109010;0,104673;-0,213682;-0,679668;0,990067;-0,310399
-0,095000;0,102003;0,111621;-0,213624;-0,707483;0,981328;-0,273845
-0,094900;0,094852;0,118410;-0,213261;-0,734292;0,971194;-0,236902
-0,094800;0,087565;0,125031;-0,212596;-0,760058;0,959681;-0,199623
-0,094700;0,080154;0,131474;-0,211628;-0,784744;0,946804;-0,162060
-0,094600;0,072630;0,137730;-0,210360;-0,808315;0,932582;-0,124267
-0,094500;0,065002;0,143790;-0,208793;-0,830737;0,917035;-0,086299
-0,094400;0,057282;0,149646;-0,206929;-0,851978;0,900186;-0,048207
-0,094300;0,049482;0,155289;-0,204771;-0,872009;0,882057;-0,010048
-0,094200;0,041611;0,160711;-0,202322;-0,890801;0,862675;0,028126
-0,094100;0,033681;0,165905;-0,199586;-0,908327;0,842068;0,066259
-0,094000;0,025704;0,170863;-0,196567;-0,924563;0,820264;0,104299
-0,093900;0,017690;0,175578;-0,193268;-0,939485;0,797294;0,142191
-0,093800;0,009651;0,180044;-0,189694;-0,953072;0,773192;0,179880
-0,093700;0,001598;0,184254;-0,185851;-0,965305;0,747991;0,217315
-0,093600;-0,006457;0,188201;-0,181744;-0,976167;0,721727;0,254440
