All calculations;Line 5;Line 5;Line 5
"Time in s";"Phase Voltage B/Terminal j in p.u.";"Phase Voltage C/Terminal j in p.u.";"Phase Voltage A/Terminal j in p.u."
0,044018;-0,020725;-0,151103;0,171828
0,044118;-0,017940;-0,132311;0,150251
0,044218;-0,022963;-0,075772;0,098734
0,044318;-0,029796;-0,021131;0,050926
0,044418;-0,031175;-0,006879;0,038054
0,044518;-0,023594;-0,043685;0,067279
0,044618;-0,009644;-0,107468;0,117112
0,044718;0,003935;-0,156762;0,152827
0,044818;0,011007;-0,161672;0,150665
0,044918;0,010219;-0,123877;0,113658
0,045018;0,005670;-0,073889;0,068219
0,045118;0,003731;-0,048241;0,044509
0,045218;0,008392;-0,063377;0,054985
0,045318;0,018503;-0,104933;0,086430
0,045418;0,028835;-0,139589;0,110754
0,045518;0,034092;-0,140361;0,106268
0,045618;0,032910;-0,106726;0,073817
0,045718;0,028917;-0,065029;0,036112
0,045818;0,028123;-0,049077;0,020954
0,045918;0,034522;-0,075123;0,040601
0,046018;0,047104;-0,129372;0,082268
0,046118;0,060415;-0,177002;0,116588
0,046218;0,068274;-0,186270;0,117996
0,046318;0,068007;-0,150529;0,082522
0,046418;0,062209;-0,092662;0,030453
0,046518;0,056855;-0,049043;-0,007812
0,046618;0,057144;-0,044598;-0,012546
0,046718;0,064037;-0,076582;0,012545
0,046818;0,073883;-0,118124;0,044241
0,046918;0,081276;-0,138385;0,057109
0,047018;0,083022;-0,124544;0,041522
0,047118;0,080329;-0,089938;0,009609
0,047218;0,077731;-0,063018;-0,014712
0,047318;0,079591;-0,065621;-0,013970
0,047418;0,086795;-0,096561;0,009765
0,047518;0,096026;-0,132388;0,036362
0,047618;0,102142;-0,144577;0,042435
0,047718;0,101916;-0,120558;0,018642
0,047818;0,096427;-0,073331;-0,023096
0,047918;0,090382;-0,032725;-0,057657
0,048018;0,088861;-0,024581;-0,064280
0,048118;0,093787;-0,052690;-0,041097
0,048218;0,102631;-0,096252;-0,006379
0,048318;0,110218;-0,124478;0,014260
0,048418;0,112323;-0,117836;0,005513
0,048518;0,108503;-0,080951;-0,027552
0,048618;0,102215;-0,038375;-0,063840
0,048718;0,098217;-0,016687;-0,081530
0,048818;0,099177;-0,025949;-0,073229
0,048918;0,103919;-0,053623;-0,050296
0,049018;0,108487;-0,074824;-0,033663
0,049118;0,109186;-0,071053;-0,038132
0,049218;0,105332;-0,043669;-0,061663
0,049318;0,099737;-0,012462;-0,087275
0,049418;0,096589;-0,000635;-0,095954
0,049518;0,098308;-0,017271;-0,081038
0,049618;0,103667;-0,050097;-0,053571
0,049718;0,108545;-0,073794;-0,034750
0,049818;0,108776;-0,067885;-0,040892
0,049918;0,103080;-0,031396;-0,071685
0,050018;0,093971;0,016127;-0,110098
0,050118;0,086046;0,047910;-0,133956
0,050218;0,082866;0,048089;-0,130956
0,050318;0,084630;0,021957;-0,106586
0,050418;0,088237;-0,008621;-0,079616
0,050518;0,089616;-0,020982;-0,068635
0,050618;0,086609;-0,007245;-0,079364
0,050718;0,080351;0,021246;-0,101597
0,050818;0,074240;0,043335;-0,117575
0,050918;0,071302;0,044102;-0,115405
0,051018;0,071918;0,025799;-0,097717
0,051118;0,073548;0,005872;-0,079420
0,051218;0,072626;0,003761;-0,076388
0,051318;0,067229;0,026236;-0,093465
0,051418;0,058555;0,061970;-0,120525
0,051518;0,050160;0,089302;-0,139461
0,051618;0,045470;0,091567;-0,137037
0,051718;0,045379;0,069016;-0,114394
0,051818;0,047605;0,038813;-0,086417
0,051918;0,048283;0,023169;-0,071452
0,052018;0,044630;0,034063;-0,078693
0,052118;0,036809;0,065306;-0,102115
0,052218;0,027714;0,097351;-0,125064
0,052318;0,020873;0,111170;-0,132043
0,052418;0,018005;0,101255;-0,119260
0,052518;0,017936;0,078651;-0,096587
0,052618;0,017616;0,062243;-0,079859
0,052718;0,014409;0,064886;-0,079295
0,052818;0,007997;0,084441;-0,092438
0,052918;0,000526;0,106004;-0,106530
0,053018;-0,005061;0,113414;-0,108353
0,053118;-0,007273;0,101503;-0,094230
0,053218;-0,007224;0,080117;-0,072893
0,053318;-0,007879;0,067045;-0,059166
0,053418;-0,011925;0,075018;-0,063093
0,053518;-0,019795;0,102175;-0,082380
0,053618;-0,029284;0,132891;-0,103607
0,053718;-0,037012;0,148382;-0,111370
0,053818;-0,040713;0,139567;-0,098854
0,053918;-0,040729;0,113139;-0,072411
0,054018;-0,039693;0,086698;-0,047005
0,054118;-0,040658;0,076547;-0,035889
0,054218;-0,045017;0,086847;-0,041830
0,054318;-0,051676;0,107625;-0,055949
0,054418;-0,058008;0,122707;-0,064699
0,054518;-0,061837;0,121601;-0,059764
0,054618;-0,063011;0,106749;-0,043738
0,054718;-0,063429;0,091098;-0,027669
0,054818;-0,065564;0,088051;-0,022488
0,054918;-0,070566;0,101255;-0,030689
0,055018;-0,077361;0,121697;-0,044336
0,055118;-0,083380;0,134161;-0,050781
0,055218;-0,086398;0,128315;-0,041917
