t,A,B,C
-0.1,1.46957615897682e-15,0.866025403784439,-0.866025403784441
-0.0999,0.0376901826699408,0.846564977706136,-0.884255160376076
-0.0998,0.0753268055279366,0.825901536471478,-0.901228341999414
-0.0997,0.112856384873483,0.804064443961135,-0.916920828834618
-0.0996,0.150225589120756,0.781084731878465,-0.931310320999221
-0.0995,0.187381314585729,0.756995055651756,-0.944376370237483
-0.0994,0.224270760949383,0.731829648029092,-0.956100408978473
-0.0993,0.260841506289903,0.705624270431718,-0.96646577672162
-0.0992,0.297041581577032,0.678416162135142,-0.975457743712173
-0.0991,0.332819544522988,0.650243987350029,-0.983063531873016
-0.099,0.368124552684677,0.621147780278313,-0.989272332962989
-0.0989,0.402906435713666,0.591168888222341,-0.994075323936005
-0.0988,0.437115766650934,0.560349912828145,-0.997465679479078
-0.0987,0.470703932165332,0.528734649546134,-0.999438581711464
-0.0986,0.503623201635764,0.496368025395375,-0.999991227031138
-0.0985,0.535826794978998,0.463296035119862,-0.999122830098858
-0.0984,0.567268949126762,0.429565675827425,-0.996834624954184
-0.0983,0.597904983057522,0.395224880204315,-0.993129863261835
-0.0982,0.627691361290702,0.360322448400195,-0.988013809690894
-0.0981,0.656585755752956,0.324907978680479,-0.981493734433432
-0.098,0.684547105928692,0.28903179694447,-0.973578902873159
-0.0979,0.711535677209287,0.25274488520953,-0.964280562418814
-0.0978,0.737513117358174,0.216098809162805,-0.953611926520975
-0.0977,0.762442511011451,0.17914564488358,-0.941588155895028
-0.0976,0.78628843213662,0.141937904840345,-0.928226336976962
-0.0975,0.809016994374947,0.104528463267656,-0.9135454576426
-0.0974,0.830595899195815,0.0669704810289829,-0.897566380224795
-0.0973,0.850994481794693,0.0293173300722287,-0.880311811866918
-0.0972,0.870183754669526,-0.00837748241476789,-0.861806272254754
-0.0971,0.888136448813547,-0.0460603900408542,-0.842076058772689
-0.097,0.90482705246602,-0.0836778433323152,-0.821149209133701
-0.0969,0.920231847365873,-0.121176385829655,-0.799055461536214
-0.0968,0.934328942456611,-0.158502730052088,-0.775826212404519
-0.0967,0.947098304994745,-0.195603833222048,-0.751494471772693
-0.0966,0.958521789017376,-0.232426972641781,-0.72609481637559
-0.0965,0.968583161128632,-0.268919820615268,-0.69966334051336
-0.0964,0.977268123568194,-0.305030518808677,-0.672237604759512
-0.0963,0.984564334529205,-0.340707751943949,-0.643856582585252
-0.0962,0.990461425696652,-0.375900820720589,-0.614560604976059
-0.0961,0.9949510169813,-0.410559713862128,-0.584391303119168
-0.096,0.998026728428272,-0.444635179184925,-0.553391549243342
-0.0959,0.9996841892833,-0.478078793588194,-0.521605395695102
-0.0958,0.999921044203816,-0.51084303186586,-0.489078012337952
-0.0957,0.998736956606017,-0.542881334242516,-0.455855622363498
-0.0956,0.996133609143172,-0.574148172537392,-0.421985436605776
-0.0955,0.992114701314478,-0.604599114862375,-0.387515586452098
-0.0954,0.986685944207868,-0.634190888762188,-0.352495055445676
-0.0953,0.979855052384247,-0.662881442706892,-0.316973609677351
-0.0952,0.971631732914673,-0.690630005849423,-0.281001727065246
-0.0951,0.962027671586086,-0.717397145963177,-0.244630525622905
-0.095,0.951056516295152,-0.743144825477396,-0.207911690817752
-0.0949,0.938733857653873,-0.767836455530598,-0.170897402123272
-0.0948,0.925077206834458,-0.791436947965384,-0.13364025886907
-0.0947,0.910105970684994,-0.81391276519062,-0.0961932054943702
-0.0946,0.893841424151263,-0.835231967840167,-0.0586094563110914
-0.0945,0.876306680043863,-0.855364260160505,-0.0209424198833542
-0.0944,0.857526656193653,-0.874281033062631,0.0167543768689818
