t,ia,ib,ic,va,vb,vc
0,0.012875,-0.056422,0.043547,0.64766,-0.32347,-0.32419
0.0001,0.015041,-0.057049,0.042008,0.64719,-0.30209,-0.3451
0.0002,0.017186,-0.057595,0.04041,0.64579,-0.28028,-0.36551
0.0003,0.019306,-0.05806,0.038754,0.64348,-0.25808,-0.3854
0.0004,0.021398,-0.058442,0.037043,0.64025,-0.23551,-0.40474
0.0005,0.023461,-0.05874,0.03528,0.63611,-0.2126,-0.42351
0.0006,0.02549,-0.058956,0.033466,0.63107,-0.18939,-0.44168
0.0007,0.027483,-0.059087,0.031605,0.62513,-0.16591,-0.45922
0.0008,0.029436,-0.059135,0.029699,0.61831,-0.1422,-0.47611
0.0009,0.031348,-0.059099,0.027751,0.6106,-0.11828,-0.49232
0.001,0.033216,-0.058978,0.025763,0.60203,-0.094198,-0.50783
0.0011,0.035036,-0.058774,0.023738,0.5926,-0.06998,-0.52262
0.0012,0.036806,-0.058487,0.02168,0.58233,-0.045663,-0.53666
0.0013,0.038524,-0.058116,0.019592,0.57123,-0.02128,-0.54995
0.0014,0.040188,-0.057662,0.017475,0.55932,0.0031318,-0.56245
0.0015,0.041794,-0.057127,0.015333,0.54662,0.027539,-0.57415
0.0016,0.043341,-0.056511,0.01317,0.53313,0.051909,-0.58504
0.0017,0.044826,-0.055814,0.010988,0.51889,0.076204,-0.5951
0.0018,0.046248,-0.055038,0.0087905,0.50392,0.10039,-0.60431
0.0019,0.047603,-0.054184,0.0065803,0.48823,0.12444,-0.61266
0.002,0.048892,-0.053252,0.0043609,0.47184,0.1483,-0.62014
0.0021,0.05011,-0.052246,0.0021353,0.45478,0.17196,-0.62674
0.0022,0.051258,-0.051164,-9.342e-05,0.43708,0.19537,-0.63245
0.0023,0.052333,-0.050011,-0.002322,0.41875,0.2185,-0.63726
0.0024,0.053333,-0.048786,-0.0045472,0.39984,0.24133,-0.64117
0.0025,0.054257,-0.047491,-0.006766,0.38035,0.26381,-0.64416
0.0026,0.055105,-0.04613,-0.0089751,0.36032,0.28592,-0.64624
0.0027,0.055874,-0.044703,-0.011171,0.33978,0.30762,-0.6474
0.0028,0.056564,-0.043212,-0.013352,0.31876,0.32888,-0.64764
0.0029,0.057173,-0.04166,-0.015514,0.29728,0.34967,-0.64696
0.003,0.057701,-0.040048,-0.017653,0.27538,0.36997,-0.64536
0.0031,0.058147,-0.03838,-0.019767,0.25309,0.38975,-0.64284
0.0032,0.058511,-0.036657,-0.021854,0.23044,0.40897,-0.63941
0.0033,0.058791,-0.034882,-0.023909,0.20747,0.4276,-0.63507
0.0034,0.058988,-0.033058,-0.02593,0.18419,0.44563,-0.62983
0.0035,0.059101,-0.031187,-0.027915,0.16066,0.46303,-0.62369
0.0036,0.05913,-0.029271,-0.029859,0.1369,0.47977,-0.61667
0.0037,0.059075,-0.027313,-0.031762,0.11294,0.49583,-0.60877
0.0038,0.058936,-0.025317,-0.033619,0.088827,0.51118,-0.60001
0.0039,0.058713,-0.023285,-0.035428,0.064584,0.5258,-0.59039
0.004,0.058407,-0.02122,-0.037187,0.040249,0.53968,-0.57993
0.0041,0.058018,-0.019125,-0.038893,0.015857,0.5528,-0.56865
0.0042,0.057547,-0.017002,-0.040544,-0.0085575,0.56512,-0.55656
0.0043,0.056993,-0.014856,-0.042137,-0.03296,0.57665,-0.54369
0.0044,0.056359,-0.012688,-0.043671,-0.057315,0.58735,-0.53003
0.0045,0.055644,-0.010502,-0.045142,-0.081589,0.59722,-0.51563
0.0046,0.054851,-0.0083016,-0.046549,-0.10575,0.60624,-0.50049
0.0047,0.05398,-0.0060891,-0.04789,-0.12976,0.6144,-0.48464
0.0048,0.053031,-0.003868,-0.049163,-0.15358,0.62168,-0.4681
0.0049,0.052008,-0.0016414,-0.050367,-0.17718,0.62809,-0.4509
0.005,0.05091,0.00058754,-0.051498,-0.20054,0.6336,-0.43306
0.0051,0.049741,0.0028156,-0.052556,-0.22361,0.63821,-0.4146
0.0052,0.0485,0.0050397,-0.05354,-0.24636,0.64191,-0.39555
0.0053,0.047191,0.0072566,-0.054448,-0.26876,0.6447,-0.37594
0.0054,0.045815,0.0094632,-0.055278,-0.29078,0.64657,-0.3558
0.0055,0.044373,0.011656,-0.056029,-0.31238,0.64753,-0.33515
0.0056,0.042869,0.013833,-0.056701,-0.33354,0.64756,-0.31402
0.0057,0.041303,0.01599,-0.057293,-0.35423,0.64668,-0.29245
0.0058,0.039679,0.018124,-0.057803,-0.37441,0.64488,-0.27046
0.0059,0.037998,0.020232,-0.058231,-0.39407,0.64215,-0.24809
0.006,0.036264,0.022312,-0.058576,-0.41316,0.63852,-0.22536
0.0061,0.034478,0.02436,-0.058838,-0.43166,0.63398,-0.20232
0.0062,0.032643,0.026373,-0.059016,-0.44955,0.62854,-0.17899
0.0063,0.030761,0.028349,-0.05911,-0.46681,0.62221,-0.1554
0.0064,0.028836,0.030285,-0.059121,-0.4834,0.61499,-0.13159
0.0065,0.02687,0.032177,-0.059047,-0.4993,0.6069,-0.1076
0.0066,0.024866,0.034024,-0.05889,-0.51449,0.59794,-0.08345
0.0067,0.022826,0.035822,-0.058648,-0.52895,0.58814,-0.059182
0.0068,0.020754,0.03757,-0.058324,-0.54266,0.5775,-0.034832
0.0069,0.018652,0.039264,-0.057916,-0.5556,0.56604,-0.010433
0.007,0.016524,0.040902,-0.057426,-0.56775,0.55377,0.013983
0.0071,0.014373,0.042482,-0.056855,-0.5791,0.54072,0.038377
0.0072,0.012201,0.044002,-0.056203,-0.58962,0.5269,0.062717
0.0073,0.010011,0.04546,-0.055471,-0.5993,0.51233,0.086969
0.0074,0.0078078,0.046852,-0.05466,-0.60813,0.49703,0.1111
0.0075,0.0055931,0.048178,-0.053771,-0.61609,0.48103,0.13507
0.0076,0.0033705,0.049436,-0.052806,-0.62318,0.46434,0.15884
0.0077,0.0011432,0.050623,-0.051766,-0.62939,0.44699,0.1824
0.0078,-0.0010858,0.051739,-0.050653,-0.6347,0.42901,0.20569
0.0079,-0.0033133,0.052781,-0.049467,-0.63911,0.41042,0.22869
0.008,-0.005536,0.053747,-0.048211,-0.64261,0.39124,0.25136
0.0081,-0.0077509,0.054638,-0.046887,-0.6452,0.37151,0.27368
0.0082,-0.0099547,0.055451,-0.045496,-0.64687,0.35125,0.29561
0.0083,-0.012144,0.056185,-0.04404,-0.64762,0.33049,0.31712
0.0084,-0.014317,0.056839,-0.042522,-0.64745,0.30927,0.33818
0.0085,-0.016469,0.057412,-0.040943,-0.64636,0.2876,0.35876
0.0086,-0.018598,0.057904,-0.039307,-0.64435,0.26552,0.37883
0.0087,-0.0207,0.058314,-0.037614,-0.64143,0.24307,0.39836
0.0088,-0.022773,0.05864,-0.035868,-0.63759,0.22027,0.41732
0.0089,-0.024813,0.058884,-0.03407,-0.63285,0.19716,0.43569
0.009,-0.026818,0.059043,-0.032225,-0.62721,0.17377,0.45345
0.0091,-0.028786,0.059119,-0.030334,-0.62068,0.15013,0.47055
0.0092,-0.030712,0.059111,-0.028399,-0.61327,0.12627,0.48699
0.0093,-0.032594,0.059018,-0.026424,-0.60498,0.10224,0.50274
0.0094,-0.03443,0.058842,-0.024412,-0.59584,0.078066,0.51777
0.0095,-0.036218,0.058582,-0.022365,-0.58584,0.053777,0.53207
0.0096,-0.037954,0.058239,-0.020286,-0.57502,0.029413,0.54561
0.0097,-0.039635,0.057814,-0.018178,-0.56338,0.0050074,0.55837
0.0098,-0.041261,0.057306,-0.016045,-0.55094,-0.019407,0.57034
0.0099,-0.042828,0.056716,-0.013888,-0.53771,-0.043792,0.5815
0.01,-0.044334,0.056046,-0.011712,-0.52372,-0.068115,0.59184
0.0101,-0.045777,0.055297,-0.0095195,-0.50899,-0.092343,0.60133
0.0102,-0.047155,0.054468,-0.0073132,-0.49353,-0.11644,0.60997
0.0103,-0.048466,0.053563,-0.0050966,-0.47738,-0.14037,0.61774
0.0104,-0.049708,0.052581,-0.0028727,-0.46054,-0.1641,0.62464
0.0105,-0.05088,0.051524,-0.00064474,-0.44305,-0.1876,0.63065
0.0106,-0.051979,0.050395,0.0015842,-0.42493,-0.21083,0.63576
0.0107,-0.053004,0.049193,0.0038108,-0.40621,-0.23376,0.63996
0.0108,-0.053954,0.047922,0.006032,-0.3869,-0.25636,0.64326
0.0109,-0.054828,0.046583,0.0082447,-0.36705,-0.27859,0.64565
0.011,-0.055623,0.045177,0.010446,-0.34668,-0.30043,0.64711
0.0111,-0.056339,0.043708,0.012632,-0.32582,-0.32184,0.64766
0.0112,-0.056976,0.042176,0.0148,-0.30449,-0.3428,0.64729
0.0113,-0.057531,0.040584,0.016947,-0.28273,-0.36326,0.64599
0.0114,-0.058004,0.038934,0.01907,-0.26056,-0.38322,0.64378
0.0115,-0.058396,0.03723,0.021166,-0.23803,-0.40262,0.64065
0.0116,-0.058704,0.035472,0.023232,-0.21516,-0.42146,0.63662
0.0117,-0.058928,0.033664,0.025265,-0.19198,-0.43969,0.63168
0.0118,-0.059069,0.031808,0.027262,-0.16853,-0.4573,0.62584
0.0119,-0.059127,0.029907,0.02922,-0.14484,-0.47426,0.61911
0.012,-0.0591,0.027963,0.031137,-0.12095,-0.49055,0.6115
0.0121,-0.058989,0.025979,0.033009,-0.096881,-0.50614,0.60302
0.0122,-0.058794,0.023959,0.034835,-0.072677,-0.52101,0.59369
0.0123,-0.058515,0.021905,0.036611,-0.048369,-0.53514,0.58351
0.0124,-0.058154,0.019819,0.038335,-0.023992,-0.54851,0.5725
0.0125,-0.05771,0.017706,0.040004,0.0004189,-0.5611,0.56068
0.0126,-0.057184,0.015567,0.041617,0.024829,-0.5729,0.54807
0.0127,-0.056576,0.013406,0.043171,0.049204,-0.58387,0.53467
0.0128,-0.055888,0.011226,0.044663,0.073509,-0.59402,0.52051
0.0129,-0.055121,0.0090296,0.046092,0.09771,-0.60333,0.50562
0.013,-0.054276,0.0068208,0.047455,0.12177,-0.61177,0.49
0.0131,-0.053353,0.0046023,0.048751,0.14566,-0.61935,0.47369
0.0132,-0.052354,0.0023772,0.049977,0.16934,-0.62605,0.45671
0.0133,-0.051282,0.00014878,0.051133,0.19278,-0.63186,0.43908
0.0134,-0.050136,-0.0020799,0.052216,0.21595,-0.63677,0.42082
0.0135,-0.048919,-0.0043056,0.053224,0.23881,-0.64078,0.40197
0.0136,-0.047632,-0.0065252,0.054157,0.26133,-0.64387,0.38254
0.0137,-0.046278,-0.0087355,0.055013,0.28348,-0.64605,0.36257
0.0138,-0.044858,-0.010933,0.055791,0.30523,-0.64731,0.34209
0.0139,-0.043374,-0.013116,0.05649,0.32654,-0.64765,0.32111
0.014,-0.041829,-0.01528,0.057108,0.34739,-0.64708,0.29969
0.0141,-0.040224,-0.017422,0.057646,0.36774,-0.64558,0.27783
0.0142,-0.038562,-0.019539,0.058101,0.38758,-0.64316,0.25559
0.0143,-0.036845,-0.021628,0.058474,0.40686,-0.63984,0.23298
0.0144,-0.035076,-0.023687,0.058763,0.42556,-0.6356,0.21003
0.0145,-0.033257,-0.025712,0.058969,0.44366,-0.63046,0.18679
0.0146,-0.031391,-0.027701,0.059092,0.46113,-0.62442,0.16329
0.0147,-0.02948,-0.02965,0.05913,0.47794,-0.61749,0.13955
0.0148,-0.027527,-0.031557,0.059084,0.49408,-0.60969,0.11561
0.0149,-0.025535,-0.033419,0.058955,0.50951,-0.60102,0.091513
0.015,-0.023507,-0.035234,0.058741,0.52422,-0.5915,0.067282
0.0151,-0.021445,-0.036999,0.058444,0.53818,-0.58114,0.042957
0.0152,-0.019353,-0.038711,0.058065,0.55138,-0.56995,0.018569
0.0153,-0.017234,-0.040368,0.057602,0.56379,-0.55795,-0.0058449
0.0154,-0.01509,-0.041968,0.057058,0.57541,-0.54516,-0.03025
0.0155,-0.012924,-0.043508,0.056432,0.5862,-0.53159,-0.054613
0.0156,-0.01074,-0.044986,0.055727,0.59616,-0.51727,-0.078897
0.0157,-0.0085413,-0.046401,0.054942,0.60528,-0.50221,-0.10307
0.0158,-0.0063301,-0.047749,0.054079,0.61353,-0.48644,-0.1271
